"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.390710540E-1,-1.640720367E-1,-1.055815667E-1,1.363523006E0,1.377411373E0
1.440361580E-1,-2.466535568E-2,5.791516602E-2,-1.751236916E-1,1.860936688E-1
1.489309490E-1,-3.267145157E-1,1.412784308E-1,-9.064517021E-1,9.738360530E-1
1.538990740E-1,-1.754231453E-1,9.298145771E-3,9.633255005E-1,9.792118031E-1
1.588730330E-1,-7.878065109E-2,6.785323471E-2,3.933801651E-1,4.068886908E-1
1.638505330E-1,1.871728897E-2,6.702053547E-2,-4.318275452E-1,4.373981228E-1
1.688348560E-1,7.105493546E-2,-4.488274455E-3,5.236706734E-1,5.284883372E-1
1.738179290E-1,-1.157865524E-1,6.962388754E-3,2.747936249E-1,2.982725882E-1
1.787770430E-1,-8.134317398E-2,2.734565735E-2,-2.466435432E-1,2.611465764E-1
1.837368870E-1,-8.956432343E-2,-1.345589757E-3,-5.995845795E-2,1.077895882E-1
1.886868350E-1,-2.599620819E-2,-1.052379608E-2,1.975536346E-3,2.811504701E-2
1.936410010E-1,-8.954238892E-2,-7.765561342E-3,3.805408478E-1,3.910108441E-1
1.986034490E-1,3.369235992E-2,-4.233099520E-2,3.235874176E-1,3.280791141E-1
2.035714700E-1,2.788877487E-2,-1.551796496E-2,-6.710052490E-3,3.261312320E-2
2.085423040E-1,-9.335279465E-2,-1.041473448E-2,6.517601013E-2,1.143290132E-1
2.135164700E-1,-2.296123505E-1,1.308128238E-2,1.257386208E-1,2.621128615E-1
2.184913660E-1,-1.623077393E-1,4.052191973E-2,-4.759788513E-2,1.739292582E-1
2.234693350E-1,-4.579877853E-2,2.305567265E-2,-2.148628235E-3,5.131967225E-2
2.284362100E-1,4.177999496E-2,6.108418107E-3,2.444176674E-1,2.480380553E-1
2.334059490E-1,3.602266312E-2,-1.505747437E-2,2.748332024E-1,2.775925952E-1
2.383527720E-1,2.800798416E-2,-5.399614573E-3,1.182832718E-1,1.216738896E-1
2.433018350E-1,-7.529544830E-2,7.397326082E-2,-2.949905396E-2,1.095976370E-1
2.482537100E-1,-1.502552032E-1,-3.149807453E-4,-1.152296066E-1,1.893530764E-1
2.532096990E-1,-1.953763962E-1,6.969034672E-2,-5.073070526E-3,2.074955823E-1
2.581703760E-1,5.498600006E-2,-3.249981999E-2,1.233944893E-1,1.389456674E-1
2.631409490E-1,5.837678909E-2,-1.772923768E-2,3.472623825E-1,3.525809661E-1
2.681149600E-1,3.117084503E-3,-2.440692484E-2,1.310272217E-1,1.333174670E-1
2.730913140E-1,1.250791550E-2,3.226184845E-2,2.963352203E-2,4.555678263E-2
2.780329810E-1,-1.469449997E-1,3.857244551E-2,-3.201532364E-2,1.552599351E-1
2.829819390E-1,-1.928281784E-1,8.690946549E-2,-5.488014221E-2,2.185126806E-1
2.879394910E-1,-1.182928085E-1,3.579181433E-2,3.528690338E-2,1.285278494E-1
2.929050120E-1,3.907728195E-2,6.550253928E-2,9.075260162E-2,1.185480971E-1
2.978728240E-1,3.610515594E-2,7.848359644E-3,2.178015709E-1,2.209133389E-1
3.028457930E-1,4.233932495E-2,-1.735046506E-3,2.252640724E-1,2.292150325E-1
3.078239700E-1,-3.607892990E-2,3.815259784E-2,-1.861953735E-2,5.571352687E-2
3.128058970E-1,-3.536033630E-2,-9.605601430E-3,-2.085876465E-1,2.117815554E-1
3.177909490E-1,-8.854055405E-2,2.105811983E-2,-1.061377525E-1,1.398145080E-1
3.227573560E-1,2.377367020E-2,-2.842217684E-3,1.096177101E-1,1.122020854E-1
3.277076680E-1,3.277349472E-2,-1.690128446E-2,2.251977921E-1,2.281968469E-1
3.326599080E-1,2.989578247E-2,-1.902294159E-2,1.481847763E-1,1.523625874E-1
3.376156890E-1,-2.241706848E-2,-9.311541915E-3,8.440637589E-2,8.782747897E-2
3.425769390E-1,-1.185274124E-1,3.318798542E-2,-2.065610886E-2,1.248073103E-1
3.475428240E-1,-1.965594292E-1,4.365488887E-3,-8.155584335E-2,2.128521136E-1
3.525137100E-1,-9.664344788E-2,2.313568443E-2,-2.607727051E-2,1.027386974E-1
3.574869390E-1,-6.742477417E-4,1.807965338E-2,8.732080460E-2,8.917539678E-2
3.624624600E-1,1.360955238E-1,-1.995776594E-2,1.542024612E-1,2.066366451E-1
3.674278760E-1,4.912853241E-2,-1.492522657E-2,2.035613060E-1,2.099370867E-1
3.723954810E-1,-1.296091080E-2,-5.800575018E-4,6.598329544E-2,6.724668730E-2
3.773639700E-1,-3.164434433E-2,3.469987959E-2,-1.307868958E-1,1.389627946E-1
3.823215220E-1,-2.268409729E-1,8.611175418E-2,-1.218547821E-1,2.715154675E-1
3.872813660E-1,-1.794862747E-2,-4.023806751E-2,4.832267761E-3,4.432387750E-2
3.922424080E-1,5.082464218E-2,-1.883834600E-3,2.124056816E-1,2.184098594E-1
3.972053760E-1,4.070711136E-2,-1.129873097E-2,1.502499580E-1,1.560761997E-1
4.021700120E-1,4.959583282E-2,-4.092290998E-3,2.023882866E-1,2.084166789E-1
4.071364700E-1,-4.802179337E-2,-4.143163562E-3,-1.192164421E-1,1.285916736E-1
4.121041790E-1,-1.652922630E-1,4.552160203E-2,-1.838645935E-1,2.513959769E-1
4.170726680E-1,-1.274881363E-1,6.616044790E-2,1.466226578E-2,1.443794023E-1
4.220416790E-1,-2.405166626E-2,3.457931429E-2,3.563880920E-2,5.517550497E-2
4.270137620E-1,3.072977066E-2,2.702850103E-2,1.059770584E-1,1.136045579E-1
4.319780330E-1,2.336931229E-2,-1.354841888E-2,2.344732285E-1,2.360241074E-1
4.369427200E-1,4.425811768E-2,-2.526802570E-2,1.440267563E-1,1.527774873E-1
4.419074080E-1,-3.654479980E-3,-8.427143097E-3,-5.877876282E-2,5.949214169E-2
4.468768870E-1,-9.105777740E-2,-3.913886100E-2,-2.212886810E-1,2.424707191E-1
4.518381370E-1,-3.053236008E-2,-7.861979306E-3,-1.075744629E-1,1.120995129E-1
4.567998040E-1,2.683687210E-2,-3.138582408E-2,1.703681946E-1,1.753014814E-1
4.617623560E-1,8.805608749E-2,-2.157200873E-2,1.753664017E-1,1.974147941E-1
4.667291260E-1,1.365423203E-2,-3.554584086E-2,1.874299049E-1,1.912587622E-1
4.716961580E-1,-1.736688614E-2,-1.152446866E-2,3.852844238E-2,4.380482832E-2
4.766643870E-1,-1.402006149E-1,3.829026967E-2,-6.614398956E-2,1.596790047E-1
4.816335010E-1,-1.101717949E-1,2.597039938E-2,-1.008777618E-1,1.516199488E-1
4.865962620E-1,-2.829599380E-2,-3.372877836E-4,-4.534721375E-2,5.345228548E-2
4.915599080E-1,6.452512741E-2,1.150623709E-2,1.302905083E-1,1.458475303E-1
4.965235540E-1,1.136026382E-1,-3.122140467E-2,1.998257637E-1,2.319712727E-1
5.014728240E-1,8.393764496E-2,4.587210715E-3,1.620488167E-1,1.825551690E-1
5.064240740E-1,7.189273834E-3,4.500366747E-3,-3.636026382E-2,3.733641312E-2
5.113789180E-1,-1.065225601E-1,2.810940146E-2,-1.260972023E-1,1.674446138E-1
5.163414180E-1,-7.680320740E-2,4.680070281E-2,-1.296091080E-1,1.577579136E-1
5.213083970E-1,-2.126359940E-2,-1.998379081E-2,7.539224625E-2,8.084233636E-2
5.262803240E-1,2.401924133E-2,1.487374306E-3,1.954584122E-1,1.969343219E-1
5.312546990E-1,7.598209381E-2,-1.989696920E-2,1.743998528E-1,1.912706893E-1
5.362264180E-1,7.751893997E-2,-3.402562439E-2,8.492898941E-2,1.199160640E-1
5.411941790E-1,-3.464841843E-2,1.603925973E-2,-5.825901031E-2,6.965545948E-2
5.461623040E-1,-1.693992615E-1,1.343189925E-2,-1.596951485E-1,2.331931949E-1
5.511338140E-1,-1.272149086E-1,7.014004886E-2,-1.298041344E-1,1.948136872E-1
5.560965740E-1,-4.273128510E-2,3.861108422E-2,7.525444031E-2,9.476291119E-2
5.610606370E-1,9.777307510E-2,1.454844326E-2,1.668963432E-1,1.939732476E-1
5.660163140E-1,4.706954956E-2,1.722425222E-4,2.316393852E-1,2.363733846E-1
5.709752200E-1,3.470468521E-2,-1.888296008E-2,4.440736771E-2,5.943900793E-2
5.759349600E-1,-3.440809250E-2,1.918550581E-2,-1.268715858E-1,1.328472798E-1
5.808982930E-1,-5.055713654E-2,-4.795819521E-3,-1.708879471E-1,1.782742673E-1
5.858644390E-1,4.768371582E-7,-2.139923722E-2,-6.510829926E-2,6.853479398E-2
5.908337620E-1,4.052019119E-2,-4.659622908E-3,1.513013840E-1,1.567026061E-1
5.958045950E-1,9.246540070E-2,-2.126803249E-2,1.901693344E-1,2.125242463E-1
6.007770950E-1,2.281141281E-2,-4.530467093E-3,1.290745735E-1,1.311530831E-1
6.057479290E-1,-3.671741486E-2,9.682044387E-3,-5.050182343E-3,3.830685159E-2
6.107055850E-1,-1.526198387E-1,3.804557770E-2,-8.819246292E-2,1.803280113E-1
6.156642310E-1,-1.274633408E-1,7.335890830E-2,-9.696722031E-2,1.761563921E-1
6.206244390E-1,-2.173185349E-2,2.522699535E-2,-1.076316833E-2,3.499314994E-2
6.255881370E-1,7.354354858E-2,2.507845312E-2,1.032199860E-1,1.291973214E-1
6.305542830E-1,9.916973114E-2,1.295403391E-2,2.470664978E-1,2.665413606E-1
6.355231370E-1,5.552148819E-2,-1.480944455E-3,1.428756714E-1,1.532915077E-1
6.404938660E-1,-5.184555054E-2,2.696201950E-2,-1.124677658E-1,1.267434809E-1
6.454530330E-1,-1.249461174E-1,-1.767836511E-3,-1.947526932E-1,2.313941853E-1
6.504129290E-1,-8.568382263E-2,7.784806192E-3,-9.355592728E-2,1.271024476E-1
6.553738140E-1,-2.778196335E-2,-3.500094265E-2,1.469888687E-1,1.536314779E-1
6.603397510E-1,6.270647049E-2,-4.899901897E-2,1.837835312E-1,2.002732924E-1
6.653065740E-1,5.745744705E-2,-7.234495133E-2,1.252164841E-1,1.556095051E-1
6.702748040E-1,2.328395844E-3,-6.231171638E-2,3.629016876E-2,7.214671007E-2
6.752433970E-1,-9.502553940E-2,9.363763034E-3,-1.089777946E-1,1.448920043E-1
